,image_id,patch_id,xmin,ymin,xmax,ymax
172,5402,2,1161,483,1417,739
173,5402,3,1003,505,1259,761
174,5402,4,903,582,1159,838
175,4774,0,302,147,558,403
176,4774,1,1589,110,1845,366
177,4774,2,1668,325,1924,581
178,4774,3,897,529,1153,785
179,4774,4,1143,214,1399,470
180,11548,0,1308,353,1564,609
181,11548,1,1743,177,1999,433
182,11548,2,2510,222,2766,478
183,11548,3,1713,342,1969,598
184,11548,4,2018,480,2274,736
185,3299,0,2151,643,2407,899
186,3299,1,62,304,318,560
187,3299,2,2390,282,2646,538
188,3299,3,2151,580,2407,836
189,3299,4,2369,780,2625,1036
190,9372,0,1676,435,1932,691
191,9372,1,330,529,586,785
192,9372,2,1176,657,1432,913
193,9372,3,1752,687,2008,943
194,9372,4,531,77,787,333
195,10243,0,750,692,1006,948
196,10243,1,1523,171,1779,427
197,10243,2,164,396,420,652
198,10243,3,1966,314,2222,570
199,10243,4,80,503,336,759
200,11943,0,2066,319,2322,575
201,11943,1,1642,315,1898,571
202,11943,2,951,916,1207,1172
203,11943,3,2284,210,2540,466
204,11943,4,1710,217,1966,473
205,9856,0,1510,357,1766,613
206,9856,1,2004,309,2260,565
207,9856,2,1579,681,1835,937
208,9856,3,1186,851,1442,1107
209,9856,4,2054,39,2310,295
210,10269,0,1900,122,2156,378
211,10269,1,2120,1417,2376,1673
212,10269,2,1610,147,1866,403
213,10269,3,1782,1344,2038,1600
214,10269,4,1415,862,1671,1118
215,2080,0,1398,118,1654,374
216,2080,1,759,241,1015,497
217,2080,2,744,74,1000,330
218,2080,3,1017,52,1273,308
219,2080,4,972,40,1228,296
220,9151,0,686,344,942,600
221,9151,1,871,249,1127,505
222,9151,2,2114,309,2370,565
223,9151,3,1156,466,1412,722
224,9151,4,2129,460,2385,716
225,3408,0,1664,1,1920,257
226,3408,1,1665,84,1921,340
227,3408,2,1164,192,1420,448
228,3408,3,2140,205,2396,461
229,3408,4,1799,15,2055,271
230,7082,0,1021,859,1277,1115
231,7082,1,2302,351,2558,607
232,7082,2,1945,784,2201,1040
233,7082,3,855,469,1111,725
234,7082,4,1134,448,1390,704
235,6295,0,121,777,377,1033
236,6295,1,1482,75,1738,331
237,6295,2,572,559,828,815
238,6295,3,835,612,1091,868
239,6295,4,1264,699,1520,955
240,9797,0,546,346,802,602
241,9797,1,57,88,313,344
242,9797,2,593,219,849,475
243,9797,3,770,692,1026,948
244,9797,4,1234,355,1490,611
245,8470,0,2101,982,2357,1238
246,8470,1,1609,891,1865,1147
247,8470,2,2260,431,2516,687
248,8470,3,1979,956,2235,1212
249,8470,4,2467,571,2723,827
250,5493,0,965,924,1221,1180
251,5493,1,1279,73,1535,329
252,5493,2,940,708,1196,964
253,5493,3,1382,790,1638,1046
254,5493,4,644,10,900,266
255,11810,0,2112,176,2368,432
256,11810,1,1446,897,1702,1153
257,11810,2,1976,225,2232,481
258,11810,3,803,9,1059,265
259,11810,4,1507,317,1763,573
260,7538,0,2284,78,2540,334
261,7538,1,732,636,988,892
262,7538,2,455,124,711,380
263,7538,3,1108,449,1364,705
264,7538,4,1262,1133,1518,1389
265,11694,0,1451,105,1707,361
266,11694,1,2109,640,2365,896
267,11694,2,1885,715,2141,971
268,11694,3,658,777,914,1033
269,11694,4,1195,359,1451,615
270,3224,0,828,462,1084,718
271,3224,1,1405,592,1661,848
272,3224,2,1911,223,2167,479
273,3224,3,1527,762,1783,1018
274,3224,4,826,356,1082,612
275,7075,0,905,806,1161,1062
276,7075,1,1114,361,1370,617
277,7075,2,2423,426,2679,682
278,7075,3,1752,568,2008,824
279,7075,4,1159,1040,1415,1296
280,237,0,1717,702,1973,958
281,237,1,1953,722,2209,978
282,237,2,562,445,818,701
283,237,3,776,609,1032,865
284,237,4,990,20,1246,276
285,13512,0,1994,182,2250,438
286,13512,1,806,647,1062,903
287,13512,2,1947,582,2203,838
288,13512,3,967,375,1223,631
289,13512,4,1210,37,1466,293
290,13558,0,1530,263,1786,519
291,13558,1,1656,94,1912,350
292,13558,2,380,289,636,545
293,13558,3,1408,669,1664,925
294,13558,4,95,344,351,600
295,4813,0,1500,230,1756,486
296,4813,1,816,228,1072,484
297,4813,2,2538,60,2794,316
298,4813,3,76,32,332,288
299,4813,4,584,83,840,339
300,4000,0,1788,246,2044,502
301,4000,1,2398,22,2654,278
302,4000,2,71,677,327,933
303,4000,3,1620,105,1876,361
304,4000,4,955,660,1211,916
305,3484,0,1846,175,2102,431
306,3484,1,639,524,895,780
307,3484,2,2191,173,2447,429
308,3484,3,2081,534,2337,790
309,3484,4,712,420,968,676
310,688,0,293,120,549,376
311,688,1,1047,474,1303,730
312,688,2,774,273,1030,529
313,688,3,1300,161,1556,417
314,688,4,2113,618,2369,874
315,3023,0,2344,235,2600,491
316,3023,1,2043,279,2299,535
317,3023,2,1390,646,1646,902
318,3023,3,1253,347,1509,603
319,3023,4,1341,63,1597,319
320,6796,0,1688,452,1944,708
321,6796,1,1664,339,1920,595
322,6796,2,620,564,876,820
323,6796,3,1585,137,1841,393
324,6796,4,293,543,549,799
325,4873,0,1463,502,1719,758
326,4873,1,1538,517,1794,773
327,4873,2,537,331,793,587
328,4873,3,756,173,1012,429
329,4873,4,1415,26,1671,282
330,7990,0,604,565,860,821
331,7990,1,1588,459,1844,715
332,7990,2,1563,666,1819,922
333,7990,3,349,567,605,823
334,7990,4,1507,292,1763,548
335,7085,0,670,147,926,403
336,7085,1,766,415,1022,671
337,7085,2,831,441,1087,697
338,7085,3,1853,477,2109,733
339,7085,4,2092,390,2348,646
340,11539,0,2171,377,2427,633
341,11539,1,450,192,706,448
342,11539,2,1820,592,2076,848
343,11539,3,2014,801,2270,1057
344,11539,4,2006,779,2262,1035
345,9183,0,1802,870,2058,1126
346,9183,1,722,291,978,547
347,9183,2,1275,882,1531,1138
348,9183,3,1431,325,1687,581
349,9183,4,751,834,1007,1090
350,6659,0,1507,350,1763,606
351,6659,1,2112,271,2368,527
352,6659,2,1444,236,1700,492
353,6659,3,179,379,435,635
354,6659,4,1224,673,1480,929
355,8448,0,1114,976,1370,1232
356,8448,1,1362,901,1618,1157
357,8448,2,1519,737,1775,993
358,8448,3,174,453,430,709
359,8448,4,1063,784,1319,1040
360,10655,0,1018,246,1274,502
361,10655,1,682,185,938,441
362,10655,2,539,533,795,789
363,10655,3,2440,104,2696,360
364,10655,4,2138,889,2394,1145
365,3171,0,576,416,832,672
366,3171,1,1369,502,1625,758
367,3171,2,353,230,609,486
368,3171,3,978,624,1234,880
369,3171,4,387,251,643,507
370,1054,0,308,161,564,417
371,1054,1,1020,16,1276,272
372,1054,2,1328,102,1584,358
373,1054,3,1854,51,2110,307
374,1054,4,480,251,736,507
375,1154,0,1193,430,1449,686
376,1154,1,1654,65,1910,321
377,1154,2,1637,416,1893,672
378,1154,3,1287,511,1543,767
379,1154,4,1551,876,1807,1132
380,1990,0,833,420,1089,676
381,1990,1,447,33,703,289
382,1990,2,1312,318,1568,574
383,1990,3,471,292,727,548
384,1990,4,136,91,392,347
385,7996,0,2664,137,2920,393
386,7996,1,1813,979,2069,1235
387,7996,2,299,649,555,905
388,7996,3,2389,501,2645,757
389,7996,4,1459,710,1715,966
390,10143,0,61,545,317,801
391,10143,1,1003,101,1259,357
392,10143,2,1408,476,1664,732
393,10143,3,1951,154,2207,410
394,10143,4,2116,505,2372,761
395,675,0,552,476,808,732
396,675,1,1106,201,1362,457
397,675,2,1573,48,1829,304
398,675,3,1375,489,1631,745
399,675,4,1615,93,1871,349
400,1576,0,1584,473,1840,729
401,1576,1,1611,575,1867,831
402,1576,2,2469,269,2725,525
403,1576,3,1115,745,1371,1001
404,1576,4,1832,558,2088,814
405,8984,0,471,55,727,311
406,8984,1,1815,285,2071,541
407,8984,2,1677,425,1933,681
408,8984,3,1583,299,1839,555
409,8984,4,2442,24,2698,280
410,2525,0,1262,362,1518,618
411,2525,1,141,789,397,1045
412,2525,2,1414,960,1670,1216
413,2525,3,2215,914,2471,1170
414,2525,4,1669,373,1925,629
415,10611,0,1003,239,1259,495
416,10611,1,1349,364,1605,620
417,10611,2,1791,183,2047,439
418,10611,3,1246,580,1502,836
419,10611,4,1339,72,1595,328
420,10379,0,2333,257,2589,513
421,10379,1,2280,526,2536,782
422,10379,2,1060,410,1316,666
423,10379,3,1240,690,1496,946
424,10379,4,1320,0,1576,256
425,7023,0,1954,750,2210,1006
426,7023,1,905,417,1161,673
427,7023,2,1706,571,1962,827
428,7023,3,1805,516,2061,772
429,7023,4,2205,488,2461,744
430,6277,0,2023,238,2279,494
431,6277,1,887,163,1143,419
432,6277,2,1813,111,2069,367
433,6277,3,1380,49,1636,305
434,6277,4,49,247,305,503
435,10587,0,1358,49,1614,305
436,10587,1,1095,350,1351,606
437,10587,2,788,399,1044,655
438,10587,3,1763,302,2019,558
439,10587,4,1269,483,1525,739
440,380,0,1982,577,2238,833
441,380,1,696,194,952,450
442,380,2,1208,703,1464,959
443,380,3,1704,489,1960,745
444,380,4,562,7,818,263
445,4609,0,260,479,516,735
446,4609,1,1857,782,2113,1038
447,4609,2,1683,4,1939,260
448,4609,3,1369,221,1625,477
449,4609,4,928,235,1184,491
450,7417,0,1323,69,1579,325
451,7417,1,547,30,803,286
452,7417,2,952,915,1208,1171
453,7417,3,1541,491,1797,747
454,7417,4,1920,651,2176,907
455,7122,0,1533,663,1789,919
456,7122,1,1739,248,1995,504
457,7122,2,1230,336,1486,592
458,7122,3,699,159,955,415
459,7122,4,554,53,810,309
460,4416,0,1848,358,2104,614
461,4416,1,551,151,807,407
462,4416,2,1013,514,1269,770
463,4416,3,1437,483,1693,739
464,4416,4,1363,511,1619,767
465,3499,0,1228,376,1484,632
466,3499,1,584,416,840,672
467,3499,2,1889,161,2145,417
468,3499,3,584,280,840,536
469,3499,4,1971,363,2227,619
470,2686,0,1274,917,1530,1173
471,2686,1,1410,178,1666,434
472,2686,2,1023,450,1279,706
473,2686,3,1562,312,1818,568
474,2686,4,1265,880,1521,1136
475,137,0,2179,355,2435,611
476,137,1,952,382,1208,638
477,137,2,724,691,980,947
478,137,3,1135,382,1391,638
479,137,4,536,371,792,627
480,6278,0,1272,212,1528,468
481,6278,1,1151,504,1407,760
482,6278,2,1218,428,1474,684
483,6278,3,1436,285,1692,541
484,6278,4,2066,244,2322,500
485,10796,0,2134,481,2390,737
486,10796,1,662,531,918,787
487,10796,2,1622,491,1878,747
488,10796,3,883,953,1139,1209
489,10796,4,2081,370,2337,626
490,11069,0,1945,284,2201,540
491,11069,1,1547,485,1803,741
492,11069,2,1647,202,1903,458
493,11069,3,1456,120,1712,376
494,11069,4,1129,699,1385,955
495,11108,0,2530,60,2786,316
496,11108,1,710,546,966,802
497,11108,2,72,32,328,288
498,11108,3,272,479,528,735
499,11108,4,2498,29,2754,285
500,6015,0,2143,292,2399,548
501,6015,1,1028,108,1284,364
502,6015,2,1427,502,1683,758
503,6015,3,1335,514,1591,770
504,6015,4,802,470,1058,726
505,3592,0,417,437,673,693
506,3592,1,1421,534,1677,790
507,3592,2,1882,496,2138,752
508,3592,3,1196,730,1452,986
509,3592,4,1907,130,2163,386
510,4064,0,102,63,358,319
511,4064,1,689,53,945,309
512,4064,2,1582,701,1838,957
513,4064,3,1133,84,1389,340
514,4064,4,479,533,735,789
515,674,0,2048,308,2304,564
516,674,1,1668,830,1924,1086
517,674,2,1008,415,1264,671
518,674,3,1924,479,2180,735
519,674,4,579,183,835,439
520,11418,0,1344,2,1600,258
521,11418,1,941,148,1197,404
522,11418,2,1809,278,2065,534
523,11418,3,1635,802,1891,1058
524,11418,4,2051,593,2307,849
525,5434,0,1072,66,1328,322
526,5434,1,2260,281,2516,537
527,5434,2,1354,29,1610,285
528,5434,3,1070,488,1326,744
529,5434,4,1173,498,1429,754
530,13605,0,1366,36,1622,292
531,13605,1,1835,89,2091,345
532,13605,2,1467,157,1723,413
533,13605,3,1165,812,1421,1068
534,13605,4,1745,402,2001,658
535,6849,0,1949,672,2205,928
536,6849,1,1124,338,1380,594
537,6849,2,404,26,660,282
538,6849,3,1247,899,1503,1155
539,6849,4,1014,349,1270,605
540,2327,0,1855,558,2111,814
541,2327,1,1200,358,1456,614
542,2327,2,745,635,1001,891
543,2327,3,375,291,631,547
544,2327,4,1276,70,1532,326
545,12419,0,2002,250,2258,506
546,12419,1,981,287,1237,543
547,12419,2,2318,71,2574,327
548,12419,3,1701,325,1957,581
549,12419,4,1134,177,1390,433
550,4319,0,2350,356,2606,612
551,4319,1,2563,325,2819,581
552,4319,2,2492,382,2748,638
553,4319,3,1755,379,2011,635
554,4319,4,1766,47,2022,303
555,10788,0,2198,261,2454,517
556,10788,1,2191,9,2447,265
557,10788,2,1330,881,1586,1137
558,10788,3,587,259,843,515
559,10788,4,966,432,1222,688
560,4560,0,2107,528,2363,784
561,4560,1,1445,576,1701,832
562,4560,2,1468,274,1724,530
563,4560,3,442,473,698,729
564,4560,4,1192,17,1448,273
565,2752,0,889,504,1145,760
566,2752,1,918,439,1174,695
567,2752,2,1099,92,1355,348
568,2752,3,1189,435,1445,691
569,2752,4,1142,9,1398,265
570,7972,0,1382,342,1638,598
571,7972,1,543,504,799,760
572,7972,2,1408,72,1664,328
573,7972,3,1192,332,1448,588
574,7972,4,1682,185,1938,441
575,12087,0,68,463,324,719
576,12087,1,2383,156,2639,412
577,12087,2,2108,624,2364,880
578,12087,3,300,248,556,504
579,12087,4,2466,111,2722,367
580,11061,0,2229,187,2485,443
581,11061,1,1954,329,2210,585
582,11061,2,1919,694,2175,950
583,11061,3,926,198,1182,454
584,11061,4,1350,727,1606,983
585,13868,0,1914,723,2170,979
586,13868,1,1581,289,1837,545
587,13868,2,2073,254,2329,510
588,13868,3,1714,374,1970,630
589,13868,4,492,536,748,792
590,11510,0,1387,239,1643,495
591,11510,1,1130,277,1386,533
592,11510,2,1859,92,2115,348
593,11510,3,1365,703,1621,959
594,11510,4,880,490,1136,746
595,12808,0,1499,640,1755,896
596,12808,1,1609,622,1865,878
597,12808,2,1415,696,1671,952
598,12808,3,2182,87,2438,343
599,12808,4,1601,434,1857,690
600,5895,0,1479,615,1735,871
601,5895,1,639,516,895,772
602,5895,2,1275,613,1531,869
603,5895,3,1207,30,1463,286
604,5895,4,2183,100,2439,356
605,6269,0,1896,420,2152,676
606,6269,1,2759,15,3015,271
607,6269,2,1059,189,1315,445
608,6269,3,2392,309,2648,565
609,6269,4,750,304,1006,560
610,13679,0,1408,457,1664,713
611,13679,1,1974,42,2230,298
612,13679,2,2464,90,2720,346
613,13679,3,1864,91,2120,347
614,13679,4,1802,526,2058,782
615,4633,0,810,170,1066,426
616,4633,1,1848,613,2104,869
617,4633,2,2603,836,2859,1092
618,4633,3,1963,369,2219,625
619,4633,4,1036,310,1292,566
620,10877,0,23,75,279,331
621,10877,1,1944,167,2200,423
622,10877,2,2078,396,2334,652
623,10877,3,1225,284,1481,540
624,10877,4,789,122,1045,378
625,10139,0,829,727,1085,983
626,10139,1,2757,155,3013,411
627,10139,2,1415,315,1671,571
628,10139,3,1280,33,1536,289
629,10139,4,2231,185,2487,441
630,4888,0,2642,310,2898,566
631,4888,1,1353,129,1609,385
632,4888,2,543,292,799,548
633,4888,3,1747,858,2003,1114
634,4888,4,893,136,1149,392
635,2291,0,963,296,1219,552
636,2291,1,1808,872,2064,1128
637,2291,2,1647,322,1903,578
638,2291,3,2314,1086,2570,1342
639,2291,4,1265,591,1521,847
640,7124,0,2066,736,2322,992
641,7124,1,2371,255,2627,511
642,7124,2,2308,532,2564,788
643,7124,3,1371,687,1627,943
644,7124,4,537,215,793,471
645,13747,0,479,589,735,845
646,13747,1,1667,219,1923,475
647,13747,2,28,579,284,835
648,13747,3,995,347,1251,603
649,13747,4,522,317,778,573
650,1022,0,1041,186,1297,442
651,1022,1,1650,743,1906,999
652,1022,2,1206,685,1462,941
653,1022,3,1577,427,1833,683
654,1022,4,2063,452,2319,708
655,1150,0,596,59,852,315
656,1150,1,1479,525,1735,781
657,1150,2,1982,499,2238,755
658,1150,3,1242,765,1498,1021
659,1150,4,1551,532,1807,788
660,2099,0,1595,81,1851,337
661,2099,1,1771,296,2027,552
662,2099,2,1669,42,1925,298
663,2099,3,1947,207,2203,463
664,2099,4,2388,47,2644,303
665,9904,0,2307,17,2563,273
666,9904,1,1029,136,1285,392
667,9904,2,1623,138,1879,394
668,9904,3,668,18,924,274
669,9904,4,2266,60,2522,316
670,13850,0,1666,87,1922,343
671,13850,1,2160,487,2416,743
672,13850,2,1019,645,1275,901
673,13850,3,1571,12,1827,268
674,13850,4,1756,410,2012,666
675,4635,0,1489,654,1745,910
676,4635,1,2631,120,2887,376
677,4635,2,923,166,1179,422
678,4635,3,2270,714,2526,970
679,4635,4,2931,154,3187,410
680,11999,0,1935,416,2191,672
681,11999,1,540,78,796,334
682,11999,2,1480,213,1736,469
683,11999,3,552,155,808,411
684,11999,4,612,422,868,678
685,4196,0,2229,205,2485,461
686,4196,1,1163,903,1419,1159
687,4196,2,1723,97,1979,353
688,4196,3,600,735,856,991
689,4196,4,1293,108,1549,364
690,6443,0,701,132,957,388
691,6443,1,2007,211,2263,467
692,6443,2,896,600,1152,856
693,6443,3,2396,266,2652,522
694,6443,4,2108,1028,2364,1284
695,1595,0,1868,227,2124,483
696,1595,1,1875,426,2131,682
697,1595,2,2108,234,2364,490
698,1595,3,1431,434,1687,690
699,1595,4,1456,66,1712,322
700,6718,0,1690,8,1946,264
701,6718,1,705,325,961,581
702,6718,2,1763,312,2019,568
703,6718,3,2759,486,3015,742
704,6718,4,2529,251,2785,507
705,5454,0,1217,128,1473,384
706,5454,1,2131,392,2387,648
707,5454,2,2082,87,2338,343
708,5454,3,496,287,752,543
709,5454,4,470,152,726,408
710,9782,0,1356,473,1612,729
711,9782,1,1160,230,1416,486
712,9782,2,2160,57,2416,313
713,9782,3,1419,451,1675,707
714,9782,4,1439,91,1695,347
715,4278,0,1107,340,1363,596
716,4278,1,1454,584,1710,840
717,4278,2,1505,791,1761,1047
718,4278,3,1081,119,1337,375
719,4278,4,2179,623,2435,879
720,10539,0,1432,63,1688,319
721,10539,1,1743,833,1999,1089
722,10539,2,2135,541,2391,797
723,10539,3,1020,656,1276,912
724,10539,4,1044,544,1300,800
725,861,0,818,786,1074,1042
726,861,1,1793,94,2049,350
727,861,2,2127,59,2383,315
728,861,3,2078,27,2334,283
729,861,4,473,522,729,778
730,11099,0,1440,358,1696,614
731,11099,1,756,234,1012,490
732,11099,2,1051,563,1307,819
733,11099,3,1988,99,2244,355
734,11099,4,1593,99,1849,355
735,624,0,1425,408,1681,664
736,624,1,1231,113,1487,369
737,624,2,1595,324,1851,580
738,624,3,1229,178,1485,434
739,624,4,1499,444,1755,700
740,1872,0,325,36,581,292
741,1872,1,1720,90,1976,346
742,1872,2,1460,60,1716,316
743,1872,3,1083,728,1339,984
744,1872,4,1718,236,1974,492
745,8539,0,1111,593,1367,849
746,8539,1,931,0,1187,256
747,8539,2,1089,212,1345,468
748,8539,3,1506,75,1762,331
749,8539,4,1325,354,1581,610
750,11971,0,1641,193,1897,449
751,11971,1,2250,183,2506,439
752,11971,2,1928,125,2184,381
753,11971,3,1392,397,1648,653
754,11971,4,2089,30,2345,286
755,8455,0,893,667,1149,923
756,8455,1,165,170,421,426
757,8455,2,1164,394,1420,650
758,8455,3,1104,512,1360,768
759,8455,4,1824,78,2080,334
760,8009,0,1453,800,1709,1056
761,8009,1,1307,357,1563,613
762,8009,2,1491,220,1747,476
763,8009,3,257,315,513,571
764,8009,4,906,43,1162,299
765,1343,0,635,699,891,955
766,1343,1,857,288,1113,544
767,1343,2,368,157,624,413
768,1343,3,1609,561,1865,817
769,1343,4,2026,540,2282,796
770,4449,0,2303,422,2559,678
771,4449,1,1170,252,1426,508
772,4449,2,1732,205,1988,461
773,4449,3,1804,147,2060,403
774,4449,4,2067,130,2323,386
775,10190,0,3195,65,3451,321
776,10190,1,2195,266,2451,522
777,10190,2,1472,13,1728,269
778,10190,3,898,489,1154,745
779,10190,4,1492,414,1748,670
780,7681,0,916,672,1172,928
781,7681,1,466,7,722,263
782,7681,2,768,737,1024,993
783,7681,3,1380,773,1636,1029
784,7681,4,1959,36,2215,292
785,5483,0,850,459,1106,715
786,5483,1,1601,524,1857,780
787,5483,2,1203,356,1459,612
788,5483,3,2263,236,2519,492
789,5483,4,1926,493,2182,749
790,1896,0,1775,275,2031,531
791,1896,1,1992,80,2248,336
792,1896,2,695,279,951,535
793,1896,3,1218,407,1474,663
794,1896,4,1549,135,1805,391
795,760,0,1726,1070,1982,1326
796,760,1,161,124,417,380
797,760,2,1,412,257,668
798,760,3,1232,236,1488,492
799,760,4,1047,176,1303,432
800,10498,0,1587,478,1843,734
801,10498,1,1092,616,1348,872
802,10498,2,2033,487,2289,743
803,10498,3,1138,205,1394,461
804,10498,4,1847,915,2103,1171
805,7975,0,1478,322,1734,578
806,7975,1,892,298,1148,554
807,7975,2,2170,112,2426,368
808,7975,3,547,174,803,430
809,7975,4,1703,359,1959,615
810,11473,0,2579,95,2835,351
811,11473,1,1181,470,1437,726
812,11473,2,2022,1167,2278,1423
813,11473,3,309,8,565,264
814,11473,4,3,886,259,1142
815,630,0,603,477,859,733
816,630,1,1950,690,2206,946
817,630,2,1933,519,2189,775
818,630,3,796,500,1052,756
819,630,4,658,329,914,585
820,5293,0,1371,654,1627,910
821,5293,1,371,272,627,528
822,5293,2,950,668,1206,924
823,5293,3,875,781,1131,1037
824,5293,4,273,129,529,385
825,7890,0,968,533,1224,789
826,7890,1,905,630,1161,886
827,7890,2,545,29,801,285
828,7890,3,1259,800,1515,1056
829,7890,4,785,322,1041,578
830,9780,0,1334,478,1590,734
831,9780,1,2095,84,2351,340
832,9780,2,1409,447,1665,703
833,9780,3,1965,183,2221,439
834,9780,4,2024,19,2280,275
835,3571,0,1477,861,1733,1117
836,3571,1,1657,458,1913,714
837,3571,2,32,415,288,671
838,3571,3,3009,18,3265,274
839,3571,4,1977,238,2233,494
840,550,0,448,106,704,362
841,550,1,1036,1095,1292,1351
842,550,2,1083,191,1339,447
